latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-81.877,-91.067,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-13,1958-12-13,1
-81.863,173.649,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.857,171.617,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-16,1957-12-16,1
-81.775,-94.7,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-17,1958-12-17,1
-81.75,14.667,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-12,1966-01-12,1
-81.742,-112.1,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1959-01-15,1959-01-15,1
-81.725,-88.1,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-09,1958-12-09,1
-81.714,165.902,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.678,-121.967,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-09,1958-11-09,1
-81.673,-167.983,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-24,1958-01-24,1
-81.663,-98.467,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-19,1958-12-19,1
-81.617,-115.367,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-81.608,-163.267,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-81.599,162.686,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.583,-84.667,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-06,1958-12-06,1
-81.577,-151.73,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1975-01-01,1975-01-01,1
-81.567,-100.667,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-21,1958-12-21,1
-81.567,19.583,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-14,1966-01-14,1
-81.553,-73.3,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-11-25,1958-11-25,1
-81.5,-57.317,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-18,1957-12-18,1
-81.487,179.892,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.46,-176.782,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
